Date,Winning Numbers,(As Drawn),Thunderball
12/05/2010,21, 32, 24, 11, 38,10
14/05/2010,20, 17, 7, 26, 31,1
15/05/2010,11, 21, 23, 33, 37,4
19/05/2010,14, 15, 12, 8, 4,12
21/05/2010,9, 18, 25, 1, 14,2
22/05/2010,24, 4, 3, 23, 12,8
26/05/2010,39, 20, 34, 12, 33,2
28/05/2010,26, 36, 10, 39, 27,4
29/05/2010,31, 8, 15, 1, 11,12
02/06/2010,28, 9, 22, 35, 23,7
04/06/2010,23, 2, 36, 6, 33,8
05/06/2010,33, 35, 20, 32, 39,10
09/06/2010,32, 1, 19, 18, 11,11
11/06/2010,29, 19, 27, 4, 18,8
12/06/2010,31, 6, 18, 7, 9,14
16/06/2010,11, 18, 37, 28, 31,3
18/06/2010,39, 7, 22, 5, 23,4
19/06/2010,16, 30, 13, 5, 12,8
23/06/2010,4, 36, 26, 16, 27,9
25/06/2010,36, 1, 7, 11, 15,5
26/06/2010,11, 34, 33, 20, 1,3
30/06/2010,4, 1, 32, 19, 7,2
02/07/2010,19, 17, 31, 34, 23,1
03/07/2010,14, 24, 25, 27, 31,4
07/07/2010,3, 24, 9, 2, 25,3
09/07/2010,33, 35, 21, 2, 38,10
10/07/2010,1, 18, 20, 16, 31,13
14/07/2010,32, 38, 19, 25, 30,4
16/07/2010,31, 14, 19, 21, 22,1
17/07/2010,33, 11, 39, 26, 8,12
21/07/2010,34, 7, 19, 21, 24,1
23/07/2010,39, 16, 2, 23, 4,8
24/07/2010,12, 7, 25, 1, 10,13
28/07/2010,37, 11, 24, 34, 5,10
30/07/2010,21, 17, 31, 4, 37,6
31/07/2010,20, 23, 14, 32, 37,13
04/08/2010,28, 38, 27, 12, 35,4
06/08/2010,31, 12, 27, 9, 2,4
07/08/2010,24, 10, 37, 3, 9,14
11/08/2010,12, 20, 38, 13, 28,5
13/08/2010,13, 10, 38, 34, 23,9
14/08/2010,17, 39, 26, 30, 23,11
18/08/2010,25, 39, 2, 7, 18,9
20/08/2010,13, 3, 5, 15, 7,1
21/08/2010,24, 8, 15, 36, 27,9
25/08/2010,25, 39, 11, 19, 13,6
27/08/2010,11, 18, 27, 6, 3,7
28/08/2010,35, 32, 11, 17, 37,6
01/09/2010,12, 21, 28, 8, 17,8
03/09/2010,1, 30, 25, 38, 31,5
04/09/2010,29, 34, 16, 11, 23,3
08/09/2010,27, 8, 13, 34, 25,5
10/09/2010,20, 32, 21, 11, 15,14
11/09/2010,28, 23, 29, 26, 24,1
15/09/2010,3, 38, 6, 16, 15,4
17/09/2010,16, 15, 29, 12, 35,12
18/09/2010,7, 19, 8, 11, 28,10
22/09/2010,29, 13, 33, 10, 6,12
24/09/2010,8, 17, 24, 30, 21,13
25/09/2010,26, 32, 18, 9, 24,11
29/09/2010,7, 34, 4, 33, 13,3
01/10/2010,27, 26, 13, 29, 23,9
02/10/2010,21, 1, 31, 33, 22,2
06/10/2010,14, 2, 30, 23, 34,3
08/10/2010,5, 1, 8, 16, 7,7
09/10/2010,24, 23, 32, 20, 12,10
13/10/2010,25, 34, 13, 26, 6,14
15/10/2010,5, 31, 8, 26, 32,8
16/10/2010,26, 20, 14, 10, 23,3
20/10/2010,2, 39, 10, 36, 29,1
22/10/2010,37, 14, 29, 31, 23,3
23/10/2010,39, 17, 4, 21, 32,5
27/10/2010,1, 34, 4, 9, 18,14
29/10/2010,7, 32, 36, 3, 15,10
30/10/2010,39, 28, 20, 32, 3,8
03/11/2010,4, 34, 28, 33, 21,8
05/11/2010,10, 8, 38, 28, 36,3
06/11/2010,9, 25, 24, 38, 23,1
10/11/2010,1, 30, 27, 10, 21,2
12/11/2010,15, 37, 12, 19, 33,4
13/11/2010,10, 5, 23, 6, 36,6
17/11/2010,10, 35, 14, 24, 13,13
19/11/2010,7, 37, 25, 31, 13,10
20/11/2010,15, 35, 37, 10, 20,3
24/11/2010,38, 15, 7, 37, 32,11
26/11/2010,26, 31, 16, 14, 10,9
27/11/2010,10, 37, 9, 7, 20,13
01/12/2010,7, 19, 28, 22, 9,14
03/12/2010,3, 1, 35, 19, 24,3
04/12/2010,19, 4, 26, 18, 20,8
08/12/2010,34, 13, 19, 38, 4,1
10/12/2010,33, 23, 26, 27, 35,1
11/12/2010,38, 35, 16, 33, 26,12
15/12/2010,23, 32, 1, 20, 31,9
17/12/2010,29, 25, 28, 39, 5,10
18/12/2010,12, 2, 21, 8, 17,6
22/12/2010,17, 36, 6, 12, 33,14
24/12/2010,31, 9, 11, 37, 25,4
25/12/2010,12, 14, 13, 7, 9,13
29/12/2010,20, 14, 1, 13, 19,13
31/12/2010,30, 5, 11, 34, 16,10
01/01/2011,36, 38, 1, 27, 33,5
05/01/2011,27, 37, 9, 3, 31,6
07/01/2011,7, 3, 17, 27, 15,4
08/01/2011,28, 4, 26, 1, 13,6
12/01/2011,17, 34, 37, 32, 28,9
14/01/2011,17, 2, 34, 36, 4,1
15/01/2011,8, 20, 5, 24, 11,3
19/01/2011,28, 12, 10, 1, 19,11
21/01/2011,27, 36, 6, 14, 8,10
22/01/2011,36, 18, 21, 6, 9,13
26/01/2011,21, 39, 26, 28, 38,5
28/01/2011,12, 25, 19, 1, 7,1
29/01/2011,26, 14, 31, 27, 29,3
02/02/2011,37, 23, 16, 6, 11,13
04/02/2011,6, 15, 22, 21, 12,3
05/02/2011,17, 28, 22, 19, 9,5
09/02/2011,24, 2, 22, 34, 13,14
11/02/2011,15, 23, 5, 26, 3,11
12/02/2011,2, 25, 17, 10, 23,12
16/02/2011,15, 37, 1, 24, 9,2
18/02/2011,38, 7, 29, 28, 1,3
19/02/2011,30, 29, 37, 24, 19,10
23/02/2011,21, 35, 27, 3, 2,10
25/02/2011,21, 3, 4, 32, 19,10
26/02/2011,5, 9, 8, 31, 18,11
02/03/2011,28, 5, 31, 3, 21,8
04/03/2011,9, 39, 10, 3, 15,8
05/03/2011,15, 8, 16, 25, 10,14
09/03/2011,6, 4, 3, 29, 18,12
11/03/2011,4, 32, 27, 16, 26,11
12/03/2011,15, 25, 18, 34, 39,4
16/03/2011,33, 19, 10, 20, 11,2
18/03/2011,26, 15, 6, 12, 21,11
19/03/2011,10, 36, 33, 20, 5,14
